barangay_id,barangay_name,municipality_code,municipality_name,latitude,longitude
1,Alipangpang,30,Pozorrubio,16.107,120.5633
2,Amagbagan,30,Pozorrubio,16.0945,120.534
3,Balacag,30,Pozorrubio,16.1336,120.4913
4,Banding,30,Pozorrubio,16.103,120.5606
5,Bantugan,30,Pozorrubio,16.0896,120.5156
6,Batakil,30,Pozorrubio,16.1397,120.5224
7,Bobonan,30,Pozorrubio,16.137,120.5249
8,Buneg,30,Pozorrubio,16.1172,120.564
9,Cablong,30,Pozorrubio,16.1164,120.5431
10,Casanfernandoan,30,Pozorrubio,16.1173,120.4912
11,Castaño,30,Pozorrubio,16.1024,120.5045
12,Dilan,30,Pozorrubio,16.0819,120.52
13,Don Benito,30,Pozorrubio,16.1352,120.5024
14,Haway,30,Pozorrubio,16.0994,120.4912
15,Imbalbalatong,30,Pozorrubio,16.1191,120.5535
16,Inoman,30,Pozorrubio,16.1421,120.5423
17,Laoac,30,Pozorrubio,16.1366,120.517
18,Maambal,30,Pozorrubio,16.0842,120.4914
19,Malasin,30,Pozorrubio,16.0923,120.5258
20,Malokiat,30,Pozorrubio,16.1138,120.5024
21,Manaol,30,Pozorrubio,16.1108,120.518
22,Nama,30,Pozorrubio,16.1301,120.546
23,"Nantangalan
",30,Pozorrubio,16.0857,120.5009
24,Palacpalac,30,Pozorrubio,16.1261,120.5342
25,Palguyod,30,Pozorrubio,16.1232,120.522
26,Poblacion I,30,Pozorrubio,16.111,120.5426
27,Poblacion II,30,Pozorrubio,16.1084,120.5422
28,Poblacion III,30,Pozorrubio,16.111,120.5459
29,Poblacion IV,30,Pozorrubio,16.1084,120.5458
30,Rosario,30,Pozorrubio,16.0968,120.5732
31,Sugcong,30,Pozorrubio,16.1483,120.5558
32,Talogtog,30,Pozorrubio,16.0996,120.5381
33,Tulnac,30,Pozorrubio,16.1032,120.5214
34,Villegas,30,Pozorrubio,16.1293,120.5599
