Barangay,University,Distance_km,Time_mins
Alipangpang,University of Pangasinan - PHINMA,31.36,44.30
Amagbagan,University of Pangasinan - PHINMA,22.27,37.20
Balacag,University of Pangasinan - PHINMA,23.01,36.00
Banding,University of Pangasinan - PHINMA,30.41,42.90
Bantugan,University of Pangasinan - PHINMA,20.22,33.40
Batakil,University of Pangasinan - PHINMA,26.14,43.50
Bobonan,University of Pangasinan - PHINMA,27.44,42.40
Buneg,University of Pangasinan - PHINMA,32.96,46.90
Cablong,University of Pangasinan - PHINMA,25.10,42.60
Casanfernandoan,University of Pangasinan - PHINMA,20.76,32.80
Castaño,University of Pangasinan - PHINMA,21.14,36.60
Dilan,University of Pangasinan - PHINMA,20.80,33.80
Don Benito,University of Pangasinan - PHINMA,24.34,39.20
Haway,University of Pangasinan - PHINMA,19.47,33.10
Imbalbalatong,University of Pangasinan - PHINMA,26.14,43.90
Inoman,University of Pangasinan - PHINMA,28.65,45.90
Laoac,University of Pangasinan - PHINMA,25.86,42.90
Maambal,University of Pangasinan - PHINMA,17.57,28.50
Malasin,University of Pangasinan - PHINMA,21.36,35.50
Malokiat,University of Pangasinan - PHINMA,22.91,36.50
Manaol,University of Pangasinan - PHINMA,24.98,39.30
Nama,University of Pangasinan - PHINMA,28.05,44.00
Nantangalan,University of Pangasinan - PHINMA,18.58,30.40
Palacpalac,University of Pangasinan - PHINMA,26.64,41.50
Palguyod,University of Pangasinan - PHINMA,24.87,39.10
Poblacion I,University of Pangasinan - PHINMA,24.63,41.60
Poblacion II,University of Pangasinan - PHINMA,24.25,41.00
Poblacion III,University of Pangasinan - PHINMA,24.63,41.50
Poblacion IV,University of Pangasinan - PHINMA,24.33,41.10
Rosario,University of Pangasinan - PHINMA,41.81,43.20
Sugcong,University of Pangasinan - PHINMA,30.74,49.10
Talogtog,University of Pangasinan - PHINMA,23.00,38.60
Tulnac,University of Pangasinan - PHINMA,23.12,38.20
Villegas,University of Pangasinan - PHINMA,27.76,46.30
