edu_stage,Male,Female,Male_share_pct,Female_share_pct
No grade / Pre-school,4273,4677,0.5279238741927632,0.5740058910162003
Elementary,145818,152499,18.015633860763014,18.716126656848306
Junior high / Old HS,417681,386330,51.60397184570736,47.414089347079035
Senior high,0,0,0.0,0.0
Post-secondary non-tertiary,13398,6662,1.6553063576959144,0.8176239567992145
Short-cycle tertiary,17777,20007,2.1963264010121115,2.4554491899852726
College undergraduate,76717,74451,9.478290628702602,9.137334315169367
Bachelor's graduate,127386,161459,15.738383018469305,19.815783014236622
Master's undergraduate,196,413,0.024215558001821107,0.0506872852233677
Master's graduate,1735,3263,0.214357107822243,0.4004663721158567
Doctorate undergraduate,91,127,0.011242937643702657,0.015586647029946
Doctorate graduate,1214,1696,0.1499882010929124,0.20814923907707414
Not reported,3109,3216,0.38411311136562154,0.3946980854197349
Other,2,0,0.00024709753063082763,0.0
