pcinc_decile,weighted_households,mean_pcinc,mean_education_spend,mean_transport_spend
D1,103003.408358335,1.0,1676.49104844112,8223.817955702061
D2,94295.638512606,2.0,2262.196082677009,9852.634072077259
D3,91560.49338030099,3.0000000000000004,3266.9337540654656,11251.501694427992
D4,82939.205689664,4.0,4440.7749499464235,11665.560341611035
D5,75758.95864009601,4.999999999999999,4776.589125427149,12841.45208161109
D6,75155.45946884001,6.0,4276.6072209176555,12999.094308455242
D7,71770.475461236,7.000000000000001,4331.643619023709,16537.145547921198
D8,57967.960319515,8.0,10086.578613044296,15568.633770705253
D9,60100.370633360006,8.999999999999996,12976.66474389013,20274.332108221068
D10,56729.030647272,9.999999999999998,21324.50943272213,32966.98202264361
